date,description,amount,category,merchant
2024-06-15,Starbucks Coffee,-4.55,Food & Drink,Starbucks
2024-06-15,Starbucks Coffee,-4.55,Food & Drink,Starbucks
2024-06-16,Uber Trip,-18.20,Transport,Uber
2024-06-17,Payroll ACME Corp,2500.00,Income,ACME Corp
2024-06-20,Whole Foods Market,-86.47,Groceries,Whole Foods
2024-06-22,Netflix Subscription,-15.49,Subscriptions,Netflix
2024-06-22,Netflix Subscription,-15.49,Subscriptions,Netflix
2024-06-25,Rent Payment,-1850.00,Housing,Local Apartments
2024-06-27,Amazon Marketplace,-132.90,Shopping,Amazon
2024-06-28,Spotify Family,-16.99,Subscriptions,Spotify
2024-07-02,Payroll ACME Corp,2500.00,Income,ACME Corp
2024-07-03,Chipotle Mexican Grill,-13.85,Food & Drink,Chipotle
2024-07-05,Shell Fuel,-52.34,Transport,Shell
2024-07-05,Shell Fuel,-52.34,Transport,Shell
2024-07-08,Trader Joes,-54.22,Groceries,Trader Joes
2024-07-10,Airport Lounge Pass,-69.00,Travel,Priority Pass
2024-07-15,IRS Tax Refund,350.00,Income,IRS
2024-07-18,Apple App Store,-4.99,Digital,Apple
2024-07-19,Apple App Store,-4.99,Digital,Apple
2024-07-20,Emergency Vet Visit,-742.10,Medical,Vet Clinic
2024-07-22,Home Depot,-214.77,Home,Home Depot
2024-07-25,Rent Payment,-1850.00,Housing,Local Apartments
2024-07-27,Alaska Airlines Ticket,-624.55,Travel,Alaska Airlines
2024-07-28,Spotify Family,-16.99,Subscriptions,Spotify
2024-08-01,Payroll ACME Corp,2500.00,Income,ACME Corp
2024-08-02,Uber Trip,-17.60,Transport,Uber
2024-08-03,Costco Wholesale,-242.88,Groceries,Costco
2024-08-05,Shell Fuel,-49.11,Transport,Shell
2024-08-07,Target Store,-98.33,Shopping,Target
2024-08-09,Local Diner,-28.44,Food & Drink,Local Diner
2024-08-10,Apple App Store,-49.99,Digital,Apple
2024-08-12,Hospital Bill,-1285.44,Medical,General Hospital
